ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
AFFX-hum_alu_at	1.02e-15	4.52e-20	-21.532155	32.0644892	-6.6246292		
AFFX-HUMGAPDH/M33197_3_at	8.01e-14	7.08e-18	-18.031403	28.3269559	-5.3582411	GAPDH	glyceraldehyde-3-phosphate dehydrogenase
224372_at	9.77e-13	1.29e-16	-16.244184	26.030714	-7.0471032	ND4	NADH dehydrogenase, subunit 4 (complex I)
AFFX-HUMGAPDH/M33197_M_at	8.83e-10	1.56e-13	-12.457185	20.0541631	-8.6752418	GAPDH	glyceraldehyde-3-phosphate dehydrogenase
AFFX-HUMGAPDH/M33197_5_at	2.01e-09	4.43e-13	-11.958968	19.1364644	-4.6750716	GAPDH	glyceraldehyde-3-phosphate dehydrogenase
200061_s_at	4.22e-09	1.43e-12	-11.415227	18.0959148	-1.8095065	RPS24	ribosomal protein S24
200029_at	4.22e-09	1.47e-12	-11.402856	18.0717571	-1.7327315	RPL19	ribosomal protein L19
226131_s_at	4.22e-09	1.49e-12	-11.396592	18.0595174	-1.7292134	RPS16	ribosomal protein S16
200026_at	4.76e-09	1.89e-12	-11.28912	17.848634	-3.0177372	RPL34	ribosomal protein L34
222827_s_at	3.56e-08	1.57e-11	-10.353684	15.9423871	-2.0298115	KLHL41	kelch like family member 41
224373_s_at	4.08e-08	1.98e-11	-10.254386	15.7324586	-2.8631435	ND4	NADH dehydrogenase, subunit 4 (complex I)
230030_at	5.02e-08	2.66e-11	10.128566	15.4643429	2.6154838	HS6ST2	heparan sulfate 6-O-sulfotransferase 2
200031_s_at	5.02e-08	2.88e-11	-10.094115	15.3905161	-2.3123344	SNORD35B///RPS11	small nucleolar RNA, C/D box 35B///ribosomal protein S11
239139_at	7.97e-08	4.93e-11	-9.868384	14.9023632	-1.8982068	CPNE9	copine family member 9
200012_x_at	1.53e-07	1.01e-10	-9.567881	14.2405721	-1.6542289	RPL21P28///SNORA27///SNORD102///RPL21	ribosomal protein L21 pseudogene 28///small nucleolar RNA, H/ACA box 27///small nucleolar RNA, C/D box 102///ribosomal protein L21
233520_s_at	2.57e-07	1.81e-10	-9.330206	13.7074561	-2.039475	CMYA5	cardiomyopathy associated 5
200062_s_at	3.68e-07	2.76e-10	-9.159501	13.3192734	-1.5558676	RPL30	ribosomal protein L30
225507_at	1.46e-06	1.16e-09	-8.587737	11.9870477	-1.1195801	PNISR	PNN interacting serine and arginine rich protein
AFFX-HSAC07/X00351_5_at	2.59e-06	2.17e-09	-8.345497	11.4078985	-1.0952774	ACTB	actin beta
224718_at	2.95e-06	2.69e-09	-8.262612	11.2077549	-0.9632473	YY1	YY1 transcription factor
200030_s_at	2.95e-06	2.73e-09	-8.256358	11.1926127	-1.3963052	SLC25A3	solute carrier family 25 member 3
230381_at	3.32e-06	3.23e-09	8.192275	11.0371273	2.4249461	LOC101929219///C1orf186	uncharacterized LOC101929219///chromosome 1 open reading frame 186
239996_x_at	5.80e-06	5.89e-09	-7.962687	10.4752193	-2.3003183	ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2
228121_at	6.60e-06	6.99e-09	7.897747	10.31492	1.4116895	TGFB2	transforming growth factor beta 2
229052_at	7.31e-06	8.07e-09	-7.843666	10.1809749	-1.2655579	ANKRD23///ANKRD39	ankyrin repeat domain 23///ankyrin repeat domain 39
233777_at	1.62e-05	1.86e-08	-7.531427	9.3997624	-1.8695319		
243932_at	1.80e-05	2.14e-08	7.478155	9.2651675	3.6717597		
230077_at	1.84e-05	2.34e-08	-7.445047	9.181329	-1.2440637	SDHAP2///SDHAP1///LOC220729///SDHA	succinate dehydrogenase complex flavoprotein subunit A pseudogene 2///succinate dehydrogenase complex flavoprotein subunit A pseudogene 1///succinate dehydrogenase complex flavoprotein subunit A pseudogene///succinate dehydrogenase complex flavoprotein subunit A
227245_at	1.84e-05	2.36e-08	-7.442481	9.1748264	-1.2303864	NAA25	N(alpha)-acetyltransferase 25, NatB auxiliary subunit
224932_at	1.95e-05	2.58e-08	-7.408937	9.0897276	-1.439215	CHCHD10	coiled-coil-helix-coiled-coil-helix domain containing 10
229631_at	2.78e-05	3.81e-08	-7.264888	8.7226361	-1.4821505	DNHD1	dynein heavy chain domain 1
200018_at	2.79e-05	3.94e-08	-7.252226	8.6902449	-1.1835094	LOC100508408///SNORD14B///RPS13	uncharacterized LOC100508408///small nucleolar RNA, C/D box 14B///ribosomal protein S13
224553_s_at	5.30e-05	7.84e-08	-7.000658	8.0425845	-2.4587837	TNFRSF18	TNF receptor superfamily member 18
238199_x_at	5.30e-05	7.96e-08	-6.995248	8.0285711	-1.4698872	LOC101929612///COX3	uncharacterized LOC101929612///cytochrome c oxidase III
240767_x_at	5.67e-05	8.77e-08	-6.95995	7.9370727	-1.3460115	VPS13A-AS1	VPS13A antisense RNA 1
229563_s_at	6.11e-05	9.71e-08	-6.922879	7.8408213	-1.1660644	RPL10A	ribosomal protein L10a
200032_s_at	6.37e-05	1.04e-07	-6.897765	7.7755254	-1.0125536	RPL9	ribosomal protein L9
224930_x_at	6.86e-05	1.15e-07	-6.860493	7.678492	-1.3132353	SNORD24///SNORD36A///SNORD36B///RPL7A	small nucleolar RNA, C/D box 24///small nucleolar RNA, C/D box 36A///small nucleolar RNA, C/D box 36B///ribosomal protein L7a
