GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
5359	0.0297	0.00000598	0.1145	4.5270806	0.51837464	124.77	PLSCR1	phospholipid scramblase 1
100506714	0.0297	0.00000696	0.076	4.4949988	0.34179368	79.84	NUP50-DT	NUP50 divergent transcript
4772	0.0423	0.00001485	0.0624	-4.3309627	-0.27038398	157.75	NFATC1	nuclear factor of activated T cells 1
9541	0.0477	0.00002231	0.0863	4.240399	0.36587763	190.32	CIR1	corepressor interacting with RBPJ, CIR1
8876	0.0495	0.00003525	0.1739	4.1365886	0.71941295	53.7	VNN1	vanin 1
65083	0.0495	0.00003045	0.0564	-4.1700621	-0.23523514	166.29	NOL6	nucleolar protein 6
102723340	0.0495	0.00004052	0.0855	4.1044704	0.35081993	176.74	LOC102723340	uncharacterized LOC102723340
5610	0.0564	0.00009278	0.137	3.9087259	0.53534898	189.48	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2
151556	0.0564	0.00008083	0.0774	3.941934	0.30493136	114.99	GPR155	G protein-coupled receptor 155
1230	0.0564	0.00013861	0.1049	3.8106432	0.39978372	334.94	CCR1	C-C motif chemokine receptor 1
53829	0.0564	0.00006635	0.0859	3.989003	0.34264396	812.8	P2RY13	purinergic receptor P2Y13
6732	0.0564	0.00011132	0.1085	3.8644899	0.41928646	200.98	SRPK1	SRSF protein kinase 1
100289678	0.0564	0.00008138	0.0618	-3.9402934	-0.24348238	152.69	ZNF783	zinc finger protein 783
65265	0.0564	0.00010481	0.0541	-3.8791781	-0.20986217	83.11	C8orf33	chromosome 8 open reading frame 33
90550	0.0564	0.00013812	0.0816	3.8115193	0.31107932	50.95	MCU	mitochondrial calcium uniporter
8825	0.0564	0.00010584	0.1136	3.8768044	0.4405037	67.48	LIN7A	lin-7 homolog A, crumbs cell polarity complex component
57149	0.0564	0.00013239	0.0775	3.8219658	0.29625543	61.7	LYRM1	LYR motif containing 1
51393	0.0564	0.00013525	0.0606	-3.816697	-0.23113476	435.89	TRPV2	transient receptor potential cation channel subfamily V member 2
9342	0.0564	0.00012741	0.0459	3.8314147	0.17590304	137.13	SNAP29	synaptosome associated protein 29
200315	0.0564	0.00010055	0.0965	3.8892494	0.37523349	913.91	APOBEC3A	apolipoprotein B mRNA editing enzyme catalytic subunit 3A
2182	0.0564	0.00011198	0.1356	3.8630444	0.52379384	79.01	ACSL4	acyl-CoA synthetase long chain family member 4
604	0.0567	0.00014609	0.1114	3.7976205	0.4229303	1226.68	BCL6	BCL6 transcription repressor
8761	0.0576	0.00017762	0.0434	-3.7488916	-0.16284488	356.35	PABPC4	poly(A) binding protein cytoplasmic 4
8743	0.0576	0.00018411	0.0975	3.7398707	0.36471575	511.84	TNFSF10	TNF superfamily member 10
3660	0.0576	0.00019859	0.0651	3.7207995	0.24219473	395.04	IRF2	interferon regulatory factor 2
2150	0.0576	0.00018967	0.1428	3.7323903	0.53281866	42.03	F2RL1	F2R like trypsin receptor 1
116369	0.0576	0.00020893	0.1407	3.7079705	0.52180062	54.82	SLC26A8	solute carrier family 26 member 8
144108	0.0576	0.0001884	0.0936	3.7340801	0.34954259	43.93	SPTY2D1	SPT2 chromatin protein domain containing 1
837	0.0576	0.00020855	0.0819	3.7084281	0.30373201	616	CASP4	caspase 4
9958	0.0576	0.00020494	0.1079	3.7128528	0.40061013	500.53	USP15	ubiquitin specific peptidase 15
597	0.0576	0.0001562	0.1259	3.781007	0.47615827	135.63	BCL2A1	BCL2 related protein A1
974	0.058	0.00021725	0.1095	-3.6980672	-0.40476907	497.29	CD79B	CD79b molecule
102724552	0.059	0.0002438	0.1058	3.6686838	0.38817382	49.84	RERE-AS1	RERE antisense RNA 1
91351	0.059	0.00023584	0.1343	3.6771662	0.49397611	217.89	DDX60L	DExD/H-box 60 like
23670	0.059	0.00024155	0.0856	3.6710547	0.31414105	143.14	CEMIP2	cell migration inducing hyaluronidase 2
9466	0.059	0.00024853	0.0491	-3.6637668	-0.17970816	350.88	IL27RA	interleukin 27 receptor subunit alpha
100132417	0.0595	0.00041396	0.137	3.5310182	0.48374276	45.1	FCGR1CP	Fc gamma receptor Ic, pseudogene
541471	0.0595	0.00037349	0.0883	3.5581401	0.31429067	102	MIR4435-2HG	MIR4435-2 host gene
10333	0.0595	0.0004222	0.0938	3.5258064	0.33087835	229.16	TLR6	toll like receptor 6
27284	0.0595	0.00031064	0.1419	3.6062656	0.51163167	104.05	SULT1B1	sulfotransferase family 1B member 1
306	0.0595	0.00032376	0.1363	3.5955082	0.49015801	107.49	ANXA3	annexin A3
2533	0.0595	0.00045491	0.0996	3.5059903	0.34911592	681.81	FYB1	FYN binding protein 1
309	0.0595	0.00040237	0.0638	-3.5385276	-0.22570972	1893.02	ANXA6	annexin A6
51720	0.0595	0.00042244	0.0633	3.5256538	0.22313857	196.2	UIMC1	ubiquitin interaction motif containing 1
51439	0.0595	0.00045644	0.1257	3.5050965	0.44065089	169.05	FAM8A1	family with sequence similarity 8 member A1
80853	0.0595	0.00044797	0.0956	3.5100791	0.33554592	138.13	KDM7A	lysine demethylase 7A
51422	0.0595	0.00039385	0.0774	3.5441719	0.27419893	72.94	PRKAG2	protein kinase AMP-activated non-catalytic subunit gamma 2
137886	0.0595	0.00032608	0.1115	3.5936486	0.40074108	198.22	UBXN2B	UBX domain protein 2B
8767	0.0595	0.00035047	0.0904	3.574817	0.3232238	46.46	RIPK2	receptor interacting serine/threonine kinase 2
116225	0.0595	0.00042811	0.0741	-3.5221191	-0.26093633	46.31	ZMYND19	zinc finger MYND-type containing 19
3434	0.0595	0.00032162	0.2555	3.5972312	0.919106	194.91	IFIT1	interferon induced protein with tetratricopeptide repeats 1
24138	0.0595	0.00036095	0.1508	3.5671035	0.53783913	67.34	IFIT5	interferon induced protein with tetratricopeptide repeats 5
338440	0.0595	0.00035492	0.0931	-3.5715168	-0.3325411	440.48	ANO9	anoctamin 9
834	0.0595	0.00041658	0.077	3.5293489	0.27192069	677.8	CASP1	caspase 1
9976	0.0595	0.00041162	0.1017	3.53252	0.35933437	148.55	CLEC2B	C-type lectin domain family 2 member B
254170	0.0595	0.00030994	0.1042	3.6068484	0.37585658	42.01	FBXO33	F-box protein 33
3091	0.0595	0.00031374	0.1224	3.603681	0.44095402	116.38	HIF1A	hypoxia inducible factor 1 subunit alpha
110006323	0.0595	0.00044478	0.0763	-3.5119787	-0.26797379	111.98	PKD1P4-NPIPA8	PKD1P4-NPIPA8 readthrough
60528	0.0595	0.00028068	0.0629	-3.6325035	-0.22837456	208.3	ELAC2	elaC ribonuclease Z 2
57132	0.0595	0.00036053	0.0822	3.5674082	0.2931568	218.37	CHMP1B	charged multivesicular body protein 1B
6929	0.0595	0.00030134	0.0705	-3.6141444	-0.25462367	261.16	TCF3	transcription factor 3
51497	0.0595	0.00045416	0.0468	-3.5064317	-0.16412142	214.6	NELFCD	negative elongation factor complex member C/D
3772	0.0595	0.00038747	0.1086	3.5484722	0.38539335	901.23	KCNJ15	potassium inwardly rectifying channel subfamily J member 15
55000	0.0595	0.00038921	0.0668	3.5472942	0.23700389	380.35	TUG1	taurine up-regulated 1
10762	0.0595	0.00045947	0.0798	3.5033346	0.27943507	246.24	NUP50	nucleoporin 50
6303	0.0595	0.00031083	0.0849	3.6061003	0.30609756	1561.94	SAT1	spermidine/spermine N1-acetyltransferase 1
51281	0.0616	0.00049706	0.06	-3.4823376	-0.20906511	110.59	ANKMY1	ankyrin repeat and MYND domain containing 1
79887	0.0616	0.00049436	0.0918	3.4837951	0.31964572	851.81	PLBD1	phospholipase B domain containing 1
29944	0.0616	0.00049044	0.1471	-3.4859266	-0.51277291	83.22	PNMA3	PNMA family member 3
