GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
1308	4.13e-53	1.91e-57	0.2913	15.974963	4.6532559	709.96	COL17A1	collagen type XVII alpha 1 chain
57669	4.23e-46	3.91e-50	0.1185	-14.888538	-1.7638729	2530.79	EPB41L5	erythrocyte membrane protein band 4.1 like 5
79825	5.96e-46	8.26e-50	0.1364	-14.838485	-2.0235865	757.79	EFCC1	EF-hand and coiled-coil domain containing 1
1001	3.10e-44	5.73e-48	0.2076	14.5513	3.02101	930.28	CDH3	cadherin 3
119385	1.04e-43	2.39e-47	0.1346	-14.453228	-1.9448739	1562.45	AGAP11	ArfGAP with GTPase domain, ankyrin repeat and PH domain 11
10974	3.66e-43	1.02e-46	0.1357	-14.353352	-1.9483871	1594.28	ADIRF	adipogenesis regulatory factor
25789	1.49e-41	4.81e-45	0.2529	14.08333	3.5613915	93.71	TMEM59L	transmembrane protein 59 like
100288077	2.55e-40	9.44e-44	0.4773	13.871396	6.6214879	247.13	WTAPP1	Wilms tumor 1 associated protein pseudogene 1
4312	7.96e-38	3.31e-41	0.5446	13.444617	7.3220692	2170.23	MMP1	matrix metallopeptidase 1
5832	1.06e-37	4.89e-41	0.0915	13.415732	1.2276366	1369.45	ALDH18A1	aldehyde dehydrogenase 18 family member A1
6579	2.87e-36	1.49e-39	0.5007	-13.160107	-6.5899155	301.13	SLCO1A2	solute carrier organic anion transporter family member 1A2
4320	2.87e-36	1.59e-39	0.3436	13.15518	4.5198514	491.59	MMP11	matrix metallopeptidase 11
107986343	3.04e-36	1.83e-39	0.329	-13.14471	-4.3248185	31.38	LOC107986343	uncharacterized LOC107986343
4319	2.28e-34	1.48e-37	0.4924	12.808104	6.307288	294.78	MMP10	matrix metallopeptidase 10
9244	3.86e-34	2.68e-37	0.2796	12.761897	3.5679496	456.96	CRLF1	cytokine receptor like factor 1
9547	1.86e-33	1.37e-36	0.2681	12.633861	3.3865355	988.49	CXCL14	C-X-C motif chemokine ligand 14
2706	8.38e-33	6.58e-36	0.3154	12.510024	3.9456396	185.03	GJB2	gap junction protein beta 2
1300	1.59e-32	1.36e-35	0.2757	12.452243	3.43363	391.06	COL10A1	collagen type X alpha 1 chain
26585	1.59e-32	1.40e-35	0.4726	12.45009	5.8839833	1285.57	GREM1	gremlin 1, DAN family BMP antagonist
55506	1.88e-32	1.74e-35	0.0727	12.432764	0.9040192	364.05	MACROH2A2	macroH2A.2 histone
2013	2.06e-32	2.00e-35	0.1586	-12.421607	-1.9701201	26742.01	EMP2	epithelial membrane protein 2
3872	6.29e-32	6.40e-35	0.318	12.328044	3.9198419	2137.26	KRT17	keratin 17
55203	6.76e-32	7.18e-35	0.2239	12.31875	2.7576703	158.76	LGI2	leucine rich repeat LGI family member 2
91584	1.00e-31	1.11e-34	0.2504	12.283334	3.0762664	821.68	PLXNA4	plexin A4
114805	1.17e-31	1.35e-34	0.3083	-12.267776	-3.7821059	116.06	GALNT13	polypeptide N-acetylgalactosaminyltransferase 13
102723675	1.02e-30	1.22e-33	0.196	12.087889	2.368687	152.77	LOC102723675	uncharacterized LOC102723675
374462	2.18e-30	2.72e-33	0.2396	-12.022159	-2.880866	286.75	PTPRQ	protein tyrosine phosphatase receptor type Q
101928372	3.71e-30	4.80e-33	0.3931	-11.975097	-4.7076411	146.38	LOC101928372	uncharacterized LOC101928372
100506901	1.29e-29	1.73e-32	0.1788	-11.868217	-2.1216654	178.91	LL0XNC01-250H12.3	uncharacterized LL0XNC01-250H12.3
140706	1.97e-29	2.73e-32	0.1461	-11.829976	-1.7288374	511.16	CCM2L	CCM2 like scaffold protein
2274	2.00e-29	2.95e-32	0.1865	11.823444	2.2054767	1147.7	FHL2	four and a half LIM domains 2
10381	2.00e-29	2.96e-32	0.266	11.823314	3.1448194	260.19	TUBB3	tubulin beta 3 class III
5176	6.05e-29	9.22e-32	0.1831	11.727422	2.1473273	5980.74	SERPINF1	serpin family F member 1
4804	7.71e-29	1.21e-31	0.2353	11.704294	2.7541338	220.35	NGFR	nerve growth factor receptor
389333	8.21e-29	1.33e-31	0.1207	11.696522	1.4114613	106.77	PROB1	proline rich basic protein 1
6273	1.01e-28	1.68e-31	0.3778	11.676485	4.4117663	1402.81	S100A2	S100 calcium binding protein A2
2525	1.05e-28	1.80e-31	0.1418	11.670804	1.6548357	198.84	FUT3	fucosyltransferase 3 (Lewis blood group)
55083	1.12e-28	1.99e-31	0.2761	11.661987	3.2198169	623.3	KIF26B	kinesin family member 26B
54621	1.12e-28	2.02e-31	0.1404	-11.660763	-1.6375982	991.37	VSIG10	V-set and immunoglobulin domain containing 10
23604	1.23e-28	2.27e-31	0.1717	-11.650965	-2.0002813	1692.49	DAPK2	death associated protein kinase 2
26154	1.72e-28	3.26e-31	0.3244	11.619958	3.7695624	49.86	ABCA12	ATP binding cassette subfamily A member 12
192668	1.74e-28	3.38e-31	0.1876	-11.617047	-2.179314	326.66	CYS1	cystin 1
84951	1.76e-28	3.49e-31	0.317	11.614258	3.6812366	385.16	TNS4	tensin 4
762	1.89e-28	3.84e-31	0.191	-11.606127	-2.2165595	1308.96	CA4	carbonic anhydrase 4
91683	2.99e-28	6.21e-31	0.2977	11.564845	3.4431746	42.98	SYT12	synaptotagmin 12
2048	3.41e-28	7.24e-31	0.1771	11.551619	2.0462508	362.31	EPHB2	EPH receptor B2
7512	7.90e-28	1.72e-30	0.2614	11.477298	2.9998317	122.63	XPNPEP2	X-prolyl aminopeptidase 2
4316	9.31e-28	2.06e-30	0.3393	11.461291	3.8889872	4264.97	MMP7	matrix metallopeptidase 7
25884	2.46e-27	5.57e-30	0.3171	11.374985	3.6071985	181.88	CHRDL2	chordin like 2
79827	3.74e-27	8.64e-30	0.175	11.336629	1.9836568	1540.64	CLMP	CXADR like membrane protein
140469	7.35e-27	1.73e-29	0.2165	11.275621	2.4414706	26.1	MYO3B	myosin IIIB
7079	8.27e-27	1.99e-29	0.2688	11.263479	3.0278294	82.94	TIMP4	TIMP metallopeptidase inhibitor 4
5831	8.52e-27	2.09e-29	0.1807	11.259161	2.0341034	436.56	PYCR1	pyrroline-5-carboxylate reductase 1
105374094	8.98e-27	2.24e-29	0.4551	-11.252937	-5.120713	114.93	LOC105374094	uncharacterized LOC105374094
83878	1.17e-26	2.98e-29	0.1815	-11.227635	-2.0380814	502.17	USHBP1	USH1 protein network component harmonin binding protein 1
58477	1.20e-26	3.11e-29	0.0909	11.223986	1.0201674	1735.19	SRPRB	SRP receptor subunit beta
11099	1.45e-26	3.81e-29	0.1253	-11.205891	-1.4035622	1939.77	PTPN21	protein tyrosine phosphatase non-receptor type 21
1281	1.46e-26	3.92e-29	0.3101	11.203566	3.4742799	63379.88	COL3A1	collagen type III alpha 1 chain
5738	1.47e-26	4.00e-29	0.1759	11.201747	1.9703215	1657.22	PTGFRN	prostaglandin F2 receptor inhibitor
570	1.60e-26	4.43e-29	0.2993	11.192651	3.3501063	116.2	BAAT	bile acid-CoA:amino acid N-acyltransferase
23120	2.37e-26	6.69e-29	0.3297	11.156085	3.6785992	46.31	ATP10B	ATPase phospholipid transporting 10B (putative)
25825	4.65e-26	1.33e-28	0.1319	11.094662	1.463429	1862.38	BACE2	beta-secretase 2
2823	4.94e-26	1.44e-28	0.247	-11.087716	-2.7386268	1023.22	GPM6A	glycoprotein M6A
