"gene";"DE_log2_FC";"std.error";"t.value";"p.value";"adj.p.value";"gene_id"
"ACTN1";0,560497237;NA;0,560497237;NA;NA;"87"
"ANO1";0,261341223;NA;0,261341223;NA;NA;"55107"
"ANXA5";1,49428421;NA;1,49428421;NA;NA;"308"
"ARPP19";0,536566678;NA;0,536566678;NA;NA;"10776"
"ATP2B1";0,387278855;NA;0,387278855;NA;NA;"490"
"ATXN10";0,40330718;NA;0,40330718;NA;NA;"25814"
"BASP1";0,520872951;NA;0,520872951;NA;NA;"10409"
"BNIP3L";0,338884167;NA;0,338884167;NA;NA;"665"
"BST2";0,761626968;NA;0,761626968;NA;NA;"684"
"CELF2";0,289070559;NA;0,289070559;NA;NA;"10659"
"CLIC4";0,372484009;NA;0,372484009;NA;NA;"25932"
"CNN2";0,825461905;NA;0,825461905;NA;NA;"1265"
"COL18A1";0,458110042;NA;0,458110042;NA;NA;"80781"
"COL4A1";0,791549999;NA;0,791549999;NA;NA;"1282"
"COL4A2";0,770623091;NA;0,770623091;NA;NA;"1284"
"CTSC";0,266903885;NA;0,266903885;NA;NA;"1075"
"DCTN3";0,378682384;NA;0,378682384;NA;NA;"11258"
"EPB41L2";0,296056785;NA;0,296056785;NA;NA;"2037"
"FLNA";0,588613026;NA;0,588613026;NA;NA;"2316"
"GNAI2";0,808049422;NA;0,808049422;NA;NA;"2771"
"ITGB1";0,36871754;NA;0,36871754;NA;NA;"3688"
"LGALS1";0,634460224;NA;0,634460224;NA;NA;"3956"
"LY6E";0,60716663;NA;0,60716663;NA;NA;"4061"
"MORF4L1";0,262809887;NA;0,262809887;NA;NA;"10933"
"MSN";0,509425847;NA;0,509425847;NA;NA;"4478"
"PAM";0,348580248;NA;0,348580248;NA;NA;"5066"
"PDLIM2";0,437072998;NA;0,437072998;NA;NA;"64236"
"PDLIM7";0,338837376;NA;0,338837376;NA;NA;"9260"
"PHLDA1";0,934833693;NA;0,934833693;NA;NA;"22822"
"POLR2G";0,3493902;NA;0,3493902;NA;NA;"5436"
"PRKAR1A";0,29154346;NA;0,29154346;NA;NA;"5573"
"RALGPS2";0,329262967;NA;0,329262967;NA;NA;"55103"
"RBMS1";0,703571626;NA;0,703571626;NA;NA;"5937"
"RBPMS";0,412974952;NA;0,412974952;NA;NA;"11030"
"TACSTD2";0,494213244;NA;0,494213244;NA;NA;"4070"
"TBCB";0,250916618;NA;0,250916618;NA;NA;"1155"
"TNFAIP8";0,260728203;NA;0,260728203;NA;NA;"25816"
"TUBB6";0,523713083;NA;0,523713083;NA;NA;"84617"
"ZFP36L1";0,263322987;NA;0,263322987;NA;NA;"677"
