gene;DE_log2_FC
S100a6;2,700786805
Anxa1;2,472929426
Gsn;1,138562668
Anxa3;1,803754529
Serpinb5;0,898390016
Msln;1,942789496
S100a14;2,115713633
Ahnak;1,824516207
Emp1;1,49122624
S100a11;2,195570931
Anxa5;1,49428421
Lamc2;0,892330682
Prss22;0,486689419
Cxcl16;1,082606593
Plaur;1,109876017
Krt7;1,783585981
Clu;1,882873154
Ly6a;1,966153201
Psca;0,925398977
Tmem40;0,38270119
Il1rn;0,762435969
Col4a2;0,770623091
Clic3;0,453548082
Cnn2;0,825461905
Mboat1;0,770547871
Ier3;1,628339796
Col18a1;0,458110042
Gpr137b;0,421948493
Rbms1;0,703571626
Col4a1;0,791549999
Msn;0,509425847
Lmna;1,139553863
Krt18;1,195741153
Syt8;0,509795048
Trex2;0,497752953
Mal;0,399268843
Ctsh;1,114412264
Capn2;0,524930863
Ly6d;2,17380433
S100a16;0,94192549
Rdh10;0,847116364
Serpinb9b;0,796550323
Tinagl1;0,843485925
Endod1;0,428022683
Lor;0,826688139
Ppl;0,475247937
Fosl1;0,389436814
Pmepa1;0,725458637
Krt23;0,959121963
Bok;0,838158067
Bmp8b;0,503953843
Slc25a48;0,372836857
Fabp5;1,256517389
Gcnt1;0,256774891
Pdlim7;0,338837376
Sh3kbp1;0,291023254
Capn5;0,389003417
Ildr1;0,501800669
Cd55;0,427937146
Epn3;0,313001252
Fam129b;0,496696289
Sprr1a;0,775247525
Paqr8;0,307403199
Tns4;0,386888203
Samd5;0,567883365
Cdkn2a;0,614174642
Tacstd2;0,494213244
Ccnd1;0,916704509
Emp2;0,62800499
Timp2;0,715035354
Tubb6;0,523713083
Cgnl1;0,260195807
Plk2;0,376522118
Cryab;0,494672022
Abcc5;0,271117641
Far1;0,329619472
Plat;0,267826572
Suox;0,251162182
Avpi1;0,490822144
Basp1;0,520872951
Phlda2;0,525699088
Itgb4;0,363661027
Ddah1;0,488995614
Gjb3;0,253247511
Kcnn4;0,431802308
Gadd45b;0,590614797
Tnfaip8;0,260728203
4930461G14Rik;0,393921552
Gcnt3;0,329876393
Pdzk1ip1;0,497188351
Prkar1a;0,29154346
