"gene";"DE_log2_FC";"std.error";"t.value";"p.value";"adj.p.value";"gene_id"
"S100A6";2,700786805;NA;2,700786805;NA;NA;"6277"
"ANXA1";2,472929426;NA;2,472929426;NA;NA;"301"
"GSN";1,138562668;NA;1,138562668;NA;NA;"2934"
"ANXA3";1,803754529;NA;1,803754529;NA;NA;"306"
"SERPINB5";0,898390016;NA;0,898390016;NA;NA;"5268"
"S100A14";2,115713633;NA;2,115713633;NA;NA;"57402"
"AHNAK";1,824516207;NA;1,824516207;NA;NA;"79026"
"EMP1";1,49122624;NA;1,49122624;NA;NA;"2012"
"S100A11";2,195570931;NA;2,195570931;NA;NA;"6282"
"ANXA5";1,49428421;NA;1,49428421;NA;NA;"308"
"LAMC2";0,892330682;NA;0,892330682;NA;NA;"3918"
"PRSS22";0,486689419;NA;0,486689419;NA;NA;"64063"
"PLAUR";1,109876017;NA;1,109876017;NA;NA;"5329"
"KRT7";1,783585981;NA;1,783585981;NA;NA;"3855"
"CLU";1,882873154;NA;1,882873154;NA;NA;"1191"
"TMEM40";0,38270119;NA;0,38270119;NA;NA;"55287"
"IL1RN";0,762435969;NA;0,762435969;NA;NA;"3557"
"COL4A2";0,770623091;NA;0,770623091;NA;NA;"1284"
"CLIC3";0,453548082;NA;0,453548082;NA;NA;"9022"
"CNN2";0,825461905;NA;0,825461905;NA;NA;"1265"
"IER3";1,628339796;NA;1,628339796;NA;NA;"8870"
"COL18A1";0,458110042;NA;0,458110042;NA;NA;"80781"
"GPR137B";0,421948493;NA;0,421948493;NA;NA;"7107"
"RBMS1";0,703571626;NA;0,703571626;NA;NA;"5937"
"COL4A1";0,791549999;NA;0,791549999;NA;NA;"1282"
"MSN";0,509425847;NA;0,509425847;NA;NA;"4478"
"LMNA";1,139553863;NA;1,139553863;NA;NA;"4000"
"KRT18";1,195741153;NA;1,195741153;NA;NA;"3875"
"TREX2";0,497752953;NA;0,497752953;NA;NA;"11219"
"MAL";0,399268843;NA;0,399268843;NA;NA;"4118"
"CTSH";1,114412264;NA;1,114412264;NA;NA;"1512"
"CAPN2";0,524930863;NA;0,524930863;NA;NA;"824"
"LY6D";2,17380433;NA;2,17380433;NA;NA;"8581"
"TINAGL1";0,843485925;NA;0,843485925;NA;NA;"64129"
"ENDOD1";0,428022683;NA;0,428022683;NA;NA;"23052"
"PPL";0,475247937;NA;0,475247937;NA;NA;"5493"
"FOSL1";0,389436814;NA;0,389436814;NA;NA;"8061"
"PMEPA1";0,725458637;NA;0,725458637;NA;NA;"56937"
"KRT23";0,959121963;NA;0,959121963;NA;NA;"25984"
"FABP5";1,256517389;NA;1,256517389;NA;NA;"2171"
"GCNT1";0,256774891;NA;0,256774891;NA;NA;"2650"
"PDLIM7";0,338837376;NA;0,338837376;NA;NA;"9260"
"CAPN5";0,389003417;NA;0,389003417;NA;NA;"726"
"CD55";0,427937146;NA;0,427937146;NA;NA;"1604"
"EPN3";0,313001252;NA;0,313001252;NA;NA;"55040"
"SPRR1A";0,775247525;NA;0,775247525;NA;NA;"6698"
"TNS4";0,386888203;NA;0,386888203;NA;NA;"84951"
"CDKN2A";0,614174642;NA;0,614174642;NA;NA;"1029"
"TACSTD2";0,494213244;NA;0,494213244;NA;NA;"4070"
"CCND1";0,916704509;NA;0,916704509;NA;NA;"595"
"EMP2";0,62800499;NA;0,62800499;NA;NA;"2013"
"TIMP2";0,715035354;NA;0,715035354;NA;NA;"7077"
"TUBB6";0,523713083;NA;0,523713083;NA;NA;"84617"
"PLK2";0,376522118;NA;0,376522118;NA;NA;"10769"
"CRYAB";0,494672022;NA;0,494672022;NA;NA;"1410"
"ABCC5";0,271117641;NA;0,271117641;NA;NA;"10057"
"PLAT";0,267826572;NA;0,267826572;NA;NA;"5327"
"SUOX";0,251162182;NA;0,251162182;NA;NA;"6821"
"AVPI1";0,490822144;NA;0,490822144;NA;NA;"60370"
"BASP1";0,520872951;NA;0,520872951;NA;NA;"10409"
"PHLDA2";0,525699088;NA;0,525699088;NA;NA;"7262"
"ITGB4";0,363661027;NA;0,363661027;NA;NA;"3691"
"DDAH1";0,488995614;NA;0,488995614;NA;NA;"23576"
"GJB3";0,253247511;NA;0,253247511;NA;NA;"2707"
"KCNN4";0,431802308;NA;0,431802308;NA;NA;"3783"
"GADD45B";0,590614797;NA;0,590614797;NA;NA;"4616"
"TNFAIP8";0,260728203;NA;0,260728203;NA;NA;"25816"
"GCNT3";0,329876393;NA;0,329876393;NA;NA;"9245"
"PDZK1IP1";0,497188351;NA;0,497188351;NA;NA;"10158"
"PRKAR1A";0,29154346;NA;0,29154346;NA;NA;"5573"
