"gene";"Tumor";"log2_FC_estimate";"log2_FC_estimate_SE";"t";"P.Value";"adj.P.Val";"t.value"
"CYB561";"BLCA";1.31732512383435;0.167366155639742;7.87091702500421;2.86629663845032e-14;5.7621725961796e-13;7.8709170250042
"EPHA3";"BLCA";-3.06106893964502;0.232843334051777;-13.1464744400384;1.94308567946402e-33;1.9855072446798e-31;-13.1464744400384
"MYLK";"BLCA";-3.90415753091851;0.434582109269546;-8.98370514488203;8.20109678890986e-18;2.3209277297325e-16;-8.98370514488203
"PPP2R5A";"BLCA";-0.912002523102211;0.121707539110074;-7.49339383386418;3.83203174502402e-13;6.67911158058483e-12;-7.49339383386418
"COASY";"BLCA";0.981019145926531;0.122014921520178;8.04015716851728;8.70104223297631e-15;1.82844821555135e-13;8.04015716851728
"CXCL2";"BLCA";-2.85528221912088;0.344285328185776;-8.29336014452575;1.41392118286916e-15;3.23534170151907e-14;-8.29336014452575
"MEF2C";"BLCA";-2.0990503366164;0.2012055578094;-10.4323675720967;7.11792803109375e-23;3.08351406550877e-21;-10.4323675720967
"BIRC5";"BLCA";3.39775950244002;0.471337902125415;7.20875509293529;2.54333137184183e-12;3.98187529163447e-11;7.20875509293529
"ABL1";"BLCA";-1.332026967048;0.147588114180453;-9.02529972989124;5.96058769303924e-18;1.72329215678236e-16;-9.02529972989124
"GADD45B";"BLCA";-2.13631263998372;0.280606224741822;-7.61320473895145;1.69989831825395e-13;3.09169006632437e-12;-7.61320473895145
"NFATC4";"BLCA";-1.80783804411129;0.236638678510924;-7.63965576332373;1.41884892010697e-13;2.61247753019972e-12;-7.63965576332372
"MYL9";"BLCA";-3.70839278610658;0.479758419186666;-7.72970861541817;7.64258412509273e-14;1.45731668231469e-12;-7.72970861541817
"LIG1";"BLCA";1.51224910149147;0.17646363402336;8.56974928495056;1.86047466177025e-16;4.65501192943113e-15;8.56974928495056
"CASP2";"BLCA";1.20271083783974;0.137448780858256;8.75024740364944;4.82800822725327e-17;1.28484529085512e-15;8.75024740364944
"PRKAG2";"BLCA";-1.45964006535831;0.156107776641267;-9.3502072527273;4.76898247778425e-19;1.51633252844703e-17;-9.3502072527273
"CCL2";"BLCA";-2.74611545485732;0.320960810751399;-8.55592135509756;2.06140231502926e-16;5.13853470930756e-15;-8.55592135509756
"TIMELESS";"BLCA";1.54346087775252;0.203675342738969;7.57804482858106;2.15994484984235e-13;3.88094251811942e-12;7.57804482858106
