gene;DE_log2_FC;std.error;t.value;abs_t.value;p.value;adj.p.value;gene_id;is_landmark;is_bing
ASAH1;0,621414447914345;0,0335982410070536;18,4954458712254;18,4954458712254;6,25475779707263e-68;3,39549951610416e-64;427;1;1
LTA4H;0,501317210140467;0,0273875955693169;18,3045353094854;18,3045353094854;1,01737059518699e-66;4,14222437830385e-63;4048;0;1
FDX1;0,387160708322368;0,0212914016641305;18,1838995116331;18,1838995116331;5,70302278456123e-66;1,5479904844894e-62;2230;0;1
EXOC7;-0,417163920410587;0,0229856024623675;-18,1489226176942;18,1489226176942;9,54984018169937e-66;2,22183853141651e-62;23265;0;1
OGFRL1;0,631953992737127;0,0350441323674461;18,0330899938094;18,0330899938094;5,20432311621029e-65;8,47576062706007e-62;79627;0;1
PPP1CB;0,640301971694519;0,03581364763167;17,8787142342993;17,8787142342993;4,45603448919056e-64;5,58238289930442e-61;5500;0;1
GLIPR1;0,606305936976658;0,0339613201676726;17,8528376983941;17,8528376983941;6,69744086772408e-64;7,79103728369674e-61;11010;0;1
KLHDC4;-0,580152562862335;0,0325654096495675;-17,814993550067;17,814993550067;1,17367192236978e-63;1,27429472851429e-60;54758;0;1
WDTC1;-0,362256738491556;0,0203953773548961;-17,7617080668817;17,7617080668817;2,47569316142832e-63;2,51994617668885e-60;23038;1;1
NAA50;0,521372996320557;0,0293619879742124;17,7567335283449;17,7567335283449;2,70053605938078e-63;2,58711354488679e-60;80218;0;1
SMURF1;-0,319121866640105;0,0180199889546799;-17,7093264287061;17,7093264287061;4,88497586603039e-63;4,18719562916689e-60;57154;0;1
FANCA;-0,61927018990484;0,0352297369847545;-17,5780531706163;17,5780531706163;3,35619399793799e-62;2,48449888410991e-59;2175;0;1
TATDN2;-0,301261132267821;0,0171712042811577;-17,5445546704259;17,5445546704259;5,64096877253919e-62;3,99429640998145e-59;9797;1;1
KPNA4;0,43807588053554;0,0250597940183113;17,4812243155485;17,4812243155485;1,30552840674846e-61;7,59351272582336e-59;3840;0;1
STAG3;-0,483867562892821;0,0277450649842375;-17,43977039404;17,43977039404;2,41523415716907e-61;1,35636218909157e-58;10734;0;1
ARHGAP33;-0,745921163940602;0,0427979751281018;-17,4288891403841;17,4288891403841;2,87448353754824e-61;1,56046129641702e-58;115703;0;1
RGS11;-0,916129691046208;0,0526054583562723;-17,415107094813;17,415107094813;3,44772619443508e-61;1,81127963879257e-58;8786;0;1
UBE2D3;0,409070586388288;0,0235139685998156;17,3969181191939;17,3969181191939;4,43494957026083e-61;2,25711214691462e-58;7323;0;1
DNAJC11;-0,29435582581343;0,0169330786714888;-17,3834794914792;17,3834794914792;5,65091626656979e-61;2,78881279749562e-58;55735;0;1
SDCBP;0,555338138220034;0,0320213204956271;17,3427619356257;17,3427619356257;9,95236188410152e-61;4,50233793456882e-58;6386;0;1
LMAN1;0,453062089106674;0,0261288703737782;17,3395207150382;17,3395207150382;1,04717544524085e-60;4,60927008140338e-58;3998;0;1
OSTM1;0,462478239788132;0,0266739924633364;17,3381708952573;17,3381708952573;9,85660473768528e-61;4,50233793456882e-58;28962;0;1
ZNF142;-0,36385649444949;0,0210001138838795;-17,3264057738658;17,3264057738658;1,18177608864594e-60;5,06484352097045e-58;7701;0;1
CREBL2;0,478906367757103;0,0276862112680142;17,2976491120828;17,2976491120828;1,7816762017543e-60;7,44009708250525e-58;1389;0;1
CSNK1E;-0,41815472707736;0,0241904676027922;-17,2859298936865;17,2859298936865;2,11500469300393e-60;8,40121132445417e-58;1454;1;1
BRSK2;-0,734862612318304;0,0425638467338964;-17,2649482767046;17,2649482767046;2,96838850344034e-60;1,12569821267009e-57;9024;0;1
METTL9;0,42771219745512;0,0247798556217834;17,2604798019537;17,2604798019537;3,13364023877832e-60;1,15987420292599e-57;51108;0;1
AP1S2;0,616789296140025;0,0357578241661183;17,2490723505613;17,2490723505613;3,66984825171082e-60;1,29928583972527e-57;8905;0;1
ARL5A;0,544799382676987;0,0316669592511022;17,2040320751044;17,2040320751044;7,01139986086811e-60;2,23471025144071e-57;26225;0;1
MOCS2;0,526026340490171;0,0306228054043947;17,1776012531719;17,1776012531719;9,20931891764545e-60;2,7774623683847e-57;4338;0;1
SOAT1;0,554848368091752;0,0323892879349504;17,1306133437108;17,1306133437108;1,96634218689227e-59;5,42897886824075e-57;6646;0;1
