gene;DE_log2_FC;std.error;t.value;abs_t.value;p.value;adj.p.value;gene_id;is_landmark;is_bing
ASAH1;0,621414447914345;0,0335982410070536;18,4954458712254;18,4954458712254;6,25475779707263e-68;3,39549951610416e-64;427;1;1
WDTC1;-0,362256738491556;0,0203953773548961;-17,7617080668817;17,7617080668817;2,47569316142832e-63;2,51994617668885e-60;23038;1;1
TATDN2;-0,301261132267821;0,0171712042811577;-17,5445546704259;17,5445546704259;5,64096877253919e-62;3,99429640998145e-59;9797;1;1
CSNK1E;-0,41815472707736;0,0241904676027922;-17,2859298936865;17,2859298936865;2,11500469300393e-60;8,40121132445417e-58;1454;1;1
COPB2;0,393560033797975;0,0230018283596521;17,1099456810279;17,1099456810279;2,56933590246667e-59;6,97403408459536e-57;9276;1;1
TSPAN3;0,432011885039591;0,025284032714417;17,0863520831175;17,0863520831175;3,65100405824024e-59;9,00912910492432e-57;10099;1;1
GNA11;-0,437126429415644;0,0257288743890381;-16,9897222399237;16,9897222399237;1,35678820922642e-58;2,7970446551217e-56;2767;1;1
HS2ST1;0,536604516009727;0,0317951956123449;16,8769056354345;16,8769056354345;6,41605063114505e-58;1,18740682475941e-55;9653;1;1
MBNL1;0,359598654017127;0,0214676542156825;16,7507194966106;16,7507194966106;3,8327916820814e-57;5,94484241279787e-55;4154;1;1
TMED10;0,460593786263653;0,0275312608344037;16,7298471738746;16,7298471738746;5,16855578313753e-57;7,58185997126614e-55;10972;1;1
ADH5;0,474502516782182;0,0285877398180139;16,5981123307686;16,5981123307686;3,14129028986107e-56;3,7342374934801e-54;128;1;1
SUV39H1;-0,438176422592147;0,0265289796784375;-16,5168969143692;16,5168969143692;8,99948596121376e-56;9,57945283426976e-54;6839;1;1
CREG1;0,445712541801506;0,0270083816221599;16,5027489627815;16,5027489627815;1,17266517656777e-55;1,20873576364447e-53;8804;1;1
CCDC92;-0,330754531476883;0,0204438727291847;-16,1786632042917;16,1786632042917;9,55857342963502e-54;6,73900116342147e-52;80212;1;1
SLC2A6;-0,576532183680082;0,0357457106123634;-16,1287095375487;16,1287095375487;1,85714351414792e-53;1,22451171139324e-51;11182;1;1
