"gene";"DE_log2_FC";"std.error";"t.value";"p.value";"adj.p.value"
"A1BG";-0,459543514079556;0,0366036434843206;-12,5545839248599;3,37336381354908e-34;1,80481613230816e-33
"A1BG-AS1";-0,441503624095471;0,0314967271040992;-14,0174444994321;1,15126419845263e-41;1,23028141312333e-40
"A2M";-0,0472442846498951;0,0410107049022527;-1,15199884426517;0,249534903586537;0,269009428729089
"A2M-AS1";0,100756450461402;0,0274931606987151;3,66478236407757;0,000257589908227347;0,000336038869384058
"A2ML1";-0,1605878049911;0,0391179270841918;-4,10522277025246;4,29141066170171e-05;5,81931007797452e-05
"A4GALT";-0,339165386917879;0,0729539411061693;-4,64903446990334;3,6766312801586e-06;5,23772017395582e-06
"AAAS";-0,206819641886749;0,0211721780738144;-9,76846317680191;8,54935737990627e-22;2,32367880989909e-21
"AACS";-0,208359921145059;0,0253855080920795;-8,20782945881114;5,40427646324943e-16;1,15519158000368e-15
"AADAT";-0,0583833430424241;0,0238552336892431;-2,44740184912758;0,0145216194887561;0,0172099472415865
"AAGAB";0,298683981731562;0,0252153661819283;11,8453160496089;8,37397355704965e-31;3,58985347065308e-30
"AAK1";0,118897813166744;0,0208580298209709;5,70033767269825;1,48024471959707e-08;2,34187541318805e-08
"AAMDC";0,00256741671902345;0,0184748872284821;0,138967923715678;0,889497181365935;0,897209903116909
"AAMP";-0,0240578640978126;0,017625444722674;-1,36495075592979;0,172506058794326;0,188767968388389
"AAR2";-0,146384048911851;0,0167842366555483;-8,72151959698809;8,301851780161e-18;1,90858213003532e-17
"AARS1";0,0680737401475783;0,0170459762008035;3,99353720465534;6,87623624714631e-05;9,22457854374174e-05
"AARS2";-0,372764641324568;0,0256737156798016;-14,5193101759647;2,30969732604493e-44;3,39186029323425e-43
"AARSD1";-0,0757908607664873;0,0237067608076274;-3,19701461458633;0,0014222292247247;0,00178860425898582
"AASDH";0,253955514987524;0,0236409864248163;10,7421708394089;7,66958003762647e-26;2,5006362461018e-25
"AASDHPPT";0,573289606760457;0,0410790793771692;13,9557559578387;2,46535719062938e-41;2,5427996964275e-40
"AASS";-0,0916650431461026;0,0308455009302519;-2,97174759305664;0,00301592629509867;0,00372637703072429
"AATBC";-0,913559841301588;0,0530135224926935;-17,2325813933133;4,33694814497889e-60;1,44145994875768e-57
"AATF";-0,0461631035235404;0,0186614582891105;-2,47371361918045;0,0134995194384964;0,0160288868439705
"AATK";-0,693598769938465;0,0495451582566727;-13,9993249460466;1,44724342004511e-41;1,52259730871154e-40
"ABALON";-0,0866630629712254;0,0184064413773906;-4,7083008167824;2,76693434316856e-06;3,96605287034352e-06
"ABAT";-0,00544841472451511;0,0192386931217163;-0,283200874926636;0,777068242192181;0,790563055493619
"ABCA1";0,170795372841337;0,0440796262731645;3,87470101908094;0,000112116216068101;0,000148727270089198
"ABCA10";0,0817266946199158;0,0442640721171849;1,84634378878546;0,0650709375078564;0,0737521948815471
"ABCA11P";-0,0441117391616219;0,023222129968513;-1,89955612260517;0,0577139909652418;0,0656329904936756
"ABCA17P";-0,186062502214444;0,0298024985017921;-6,24318468477584;5,8035776928854e-10;9,706003933696e-10
"ABCA2";-0,528797683922444;0,0498639032391935;-10,6048193095884;2,98798713265605e-25;9,44166830470245e-25
"ABCA3";-0,344255569332346;0,0253231423557083;-13,5945043666646;1,93174550618803e-39;1,64027149706873e-38
"ABCA5";0,184565369154442;0,0337634229089637;5,46642944502652;5,50638913130781e-08;8,49455843444909e-08
"ABCA6";-0,0110919875369921;0,0503488077710989;-0,22030288358405;0,825670086580165;0,836976411679607
"ABCA7";-0,638581687299671;0,0489979179858876;-13,0328330988185;1,41464993488426e-36;9,12073984145885e-36
"ABCA8";0,120843752458914;0,0576228039068537;2,09715154879058;0,0361742658413534;0,0417115614197311
"ABCA9";-0,109904548858794;0,0404071136569467;-2,71993069814081;0,00661700403134524;0,00801461606830943
"ABCB1";-0,411254318571007;0,0484900530831753;-8,48120990640243;6,00290767296106e-17;1,33465330186817e-16
"ABCB10";-0,0992152637378421;0,0142745295715335;-6,950510224568;5,76141361214342e-12;1,04593001992384e-11
"ABCB6";-0,219519066552792;0,0261242972078374;-8,40286974253742;1,13065510769639e-16;2,4846645640188e-16
"ABCB7";0,295122177819212;0,0201938983011139;14,6144232984937;7,08016679595276e-45;1,12276140641564e-43
"ABCB8";-0,599265379161698;0,0361821308400858;-16,562467860455;4,91562052093262e-56;5,48327368519923e-54
"ABCB9";-0,545258275047888;0,0349710054438543;-15,591724290664;2,39438843129661e-50;8,40409698105529e-49
"ABCC1";-0,347913885160198;0,0235832459509831;-14,7525868950917;1,22953763164317e-45;2,14852466404943e-44
"ABCC10";-0,630749042517906;0,0388470704471323;-16,2367209485283;4,18317844309471e-54;3,15403907982595e-52
