gene;DE_log2_FC;std.error;t.value;p.value;adj.p.value;gene_id
A1BG;-0,459543514140546;0,0366036434895523;-12,5545839247318;3,37336381985423e-34;1,80481613568154e-33;1
A1BG-AS1;-0,441503624095961;0,0314967271041281;-14,0174444994349;1,15126419789231e-41;1,2302814125245498e-40;503538
A2M;-0,0472442846490656;0,04101070490229;-1,1519988442439;0,249534903595265;0,269009428738497;3494
A2M-AS1;0,100756450461418;0,0274931606987008;3,66478236408005;0,0002575899082241;0,0003360388693798;144571
A2ML1;-0,160587804997965;0,0391179270843465;-4,10522277041172;4,29141065880402e-05;5,81931007404515e-05;144568
A4GALT;-0,339165386917666;0,0729539411061498;-4,64903446990166;3,67663128015219e-06;5,23772017394669e-06;53947
AAAS;-0,206819641783221;0,0211721780957097;-9,76846316181;8,54935857430462e-22;2,32367913453146e-21;8086
AACS;-0,208359921141029;0,0253855080866885;-8,20782946039544;5,40427639358995e-16;1,15519156511361e-15;65985
AADAT;-0,0583833430355715;0,0238552336301753;-2,44740185490032;0,014521619256917;0,017209946966828;51166
AAGAB;0,298683981521334;0,0252153662290397;11,8453160191403;8,3739763513824e-31;3,58985466856051e-30;79719
AAMDC;0,0025674167191993;0,0184748872286331;0,138967923724063;0,889497181359308;0,897209903110225;28971
AAMP;-0,0240578642385202;0,0176254447533126;-1,36495076154028;0,172506057031654;0,188767966459553;14
AAR2;-0,146384048911987;0,0167842366554612;-8,7215195970415;8,301851776145059e-18;1,90858212911206e-17;25980
AARS1;0,0680737401474944;0,0170459762008222;3,99353720464603;6,87623624734583e-05;9,22457854400941e-05;16
AARS2;-0,372764641092545;0,0256737156486092;-14,5193101845676;2,30969706076327e-44;3,3918599036601098e-43;57505
AARSD1;-0,075790860766722;0,0237067608076603;-3,1970146145918;0,0014222292247012;0,0017886042589563;80755
AASDH;0,253955514987528;0,023640986424823;10,742170839406;7,66958003409522e-26;2,5006362449504503e-25;132949
AASDHPPT;0,573289606761059;0,0410790793770323;13,9557559578999;2,46535718939851e-41;2,5427996951579497e-40;60496
AASS;-0,0916650431360176;0,0308455009337717;-2,97174759239058;0,0030159263016038;0,0037263770387618;10157
AATBC;-0,91355984121533;0,0530135224910868;-17,2325813922085;4,33694821420391e-60;1,44145997176581e-57;284837
AATF;-0,0461631035240959;0,0186614582889824;-2,47371361922719;0,0134995194367463;0,0160288871035726;26574
AATK;-0,69359876993815;0,0495451582568351;-13,9993249459944;1,44724342145112e-41;1,52259731019076e-40;9625
ABALON;-0,0866630629718722;0,0184064413838319;-4,70830081516986;2,76693436478392e-06;3,96605290132644e-06;103021294
ABAT;-0,0054484148711234;0,0192386931571294;-0,283200882025834;0,77706823675178;0,790563049958739;18
ABCA1;0,170795372841545;0,0440796262670873;3,87470101961984;0,0001121162158227;0,0001487272697636;19
ABCA10;0,0817266944751917;0,0442640720346102;1,84634378896025;0,0650709374820906;0,0737521948523438;10349
ABCA11P;-0,044111739070031;0,0232221299260506;-1,89955612213444;0,0577139910267783;0,0656329905636556;79963
ABCA17P;-0,186062502668083;0,0298024985553572;-6,24318468877626;5,80357755196212e-10;9,70600369801346e-10;650655
ABCA2;-0,528797683642893;0,049863903360048;-10,6048192782793;2,9879880682001e-25;9,44167126090549e-25;20
ABCA3;-0,344255569334447;0,0253231423558926;-13,5945043666486;1,93174550720377e-39;1,64027149793121e-38;21
ABCA5;0,184565369215354;0,0337634229654525;5,46642943768484;5,50638935565793e-08;8,49455878054797e-08;23461
ABCA6;-0,0110919874864406;0,0503488077795336;-0,220302882543118;0,825670087390629;0,83697641250117;23460
ABCA7;-0,638581687291536;0,0489979179857672;-13,0328330986845;1,4146499377700599e-36;9,120739860064609e-36;10347
ABCA8;0,120843752458621;0,0576228039069375;2,09715154878244;0,0361742658420773;0,0417115614205657;10351
ABCA9;-0,109904548859744;0,0404071136567546;-2,71993069817725;0,0066170040306308;0,0080146160674441;10350
ABCB1;-0,41125431891655;0,0484900531657702;-8,48120989908214;6,00290803992838e-17;1,33465338345766e-16;5243
ABCB10;-0,0992152637379962;0,0142745295714666;-6,95051022461137;5,76141361044686e-12;1,0459300196158499e-11;23456
ABCB6;-0,219519066552096;0,0261242972078253;-8,40286974251467;1,13065510794837e-16;2,48466456457254e-16;10058
ABCB7;0,295122177819343;0,0201938983011689;14,6144232984604;7,08016680432521e-45;1,1227614077433299e-43;22
ABCB8;-0,599265379162785;0,0361821308401125;-16,5624678604728;4,9156205266115e-56;5,4832736915339e-54;11194
