gene;DE_log2_FC;std.error;t.value;abs_t.value;p.value;adj.p.value;gene_id;is_landmark;is_bing
CDH3;3,19420623368313;0,205154709684471;15,5697436271185;15,5697436271185;1,33831529911522e-18;2,15843491441303e-14;1001;1;1
EPB41L5;-1,78101461899412;0,12132848025158;-14,679279055512;14,679279055512;1,00653070194021e-17;8,11666358044582e-14;57669;0;1
ALDH18A1;1,19217402422329;0,0835690173813717;14,2657417973786;14,2657417973786;2,64522118623118e-17;1,42207090971788e-13;5832;0;1
ADIRF;-1,96195170422941;0,141442870573441;-13,87098336081;13,87098336081;6,77375707787592e-17;2,73117885379957e-13;10974;0;1
EFCC1;-2,05632010126881;0,15273638263723;-13,4631976072973;13,4631976072973;1,82332244127743e-16;4,90109072215373e-13;79825;0;1
CA4;-2,33549968366549;0,175573803579296;-13,3020965317909;13,3020965317909;2,7107608555777e-16;6,24559301125102e-13;762;0;1
COL17A1;4,80696594606404;0,368038263000147;13,0610494324122;13,0610494324122;4,93510551571356e-16;8,8437090841587e-13;1308;0;1
DAPK2;-2,11695303970902;0,166446291513409;-12,7185353332939;12,7185353332939;1,17024664381571e-15;1,71579435195088e-12;23604;0;1
IL13RA2;4,37241308298664;0,345558211370194;12,6531882013433;12,6531882013433;1,3820565482759e-15;1,85748400088281e-12;3598;0;1
CRLF1;3,82532338993616;0,305180213216451;12,5346376477659;12,5346376477659;1,87145635765417e-15;2,15579633145343e-12;9244;0;1
MYRF;-2,96676816771711;0,237193955453636;-12,5077730671641;12,5077730671641;2,00501890946189e-15;2,15579633145343e-12;745;0;1
EMP2;-2,06776904529384;0,167337188291742;-12,3569008563047;12,3569008563047;2,95786549186889e-15;2,98152841580384e-12;2013;0;1
CXCL14;3,57017297260967;0,291362393632851;12,2533760383246;12,2533760383246;3,86864605220864e-15;3,67020726647182e-12;9547;0;1
SRPRB;0,993225277884099;0,0826934258345752;12,0109339752232;12,0109339752232;7,29226668988541e-15;6,18998300918273e-12;58477;0;1
SERPINF1;2,17237174592008;0,184543883655303;11,771572716968;11,771572716968;1,37352064306424e-14;9,63136562232176e-12;5176;0;1
TNFRSF21;1,37734093306803;0,117300658654992;11,7419710073334;11,7419710073334;1,4861441913497e-14;9,87925262208476e-12;27242;1;1
XPNPEP2;2,99294748398;0,256338813730995;11,6757483598283;11,6757483598283;1,77338954063755e-14;1,0605597796183e-11;7512;0;1
COMP;5,42803269058437;0,465669701981255;11,6564008083199;11,6564008083199;1,86754612119581e-14;1,07570656580879e-11;1311;0;1
TUBB3;3,2132238110788;0,278812936759904;11,5246582472815;11,5246582472815;2,65956251991258e-14;1,34041951003594e-11;10381;0;1
BACE2;1,43316080974135;0,124721321676855;11,4909046061473;11,4909046061473;2,91275498187246e-14;1,4235427984133e-11;25825;1;1
FHL2;2,15321555542336;0,187789388688066;11,466119414234;11,466119414234;3,11418635147585e-14;1,47722345519419e-11;2274;1;1
GPM6A;-2,90691825412677;0,256742535063547;-11,3223087612159;11,3223087612159;4,59753048621322e-14;2,05969365782352e-11;2823;0;1
KHDRBS2;-2,41555343015549;0,214770730901955;-11,2471258071856;11,2471258071856;5,64198259120379e-14;2,3934237672492e-11;202559;0;1
PTPN21;-1,41020273412442;0,125487642378329;-11,2377817241386;11,2377817241386;5,7876690800297e-14;2,3934237672492e-11;11099;0;1
VSIG10;-1,65259575632747;0,147441286467882;-11,2085006575649;11,2085006575649;6,26947312344973e-14;2,52785156337493e-11;54621;0;1
COL3A1;3,43251230495341;0,308500595156144;11,1264365736996;11,1264365736996;7,84902758008946e-14;2,91605124470387e-11;1281;0;1
ADRB2;-1,47393112948449;0,132472949766051;-11,1262799846117;11,1262799846117;7,8524001348448e-14;2,91605124470387e-11;154;1;1
STEAP1;2,75889149916886;0,248067713771688;11,1215258818729;11,1215258818729;7,95549694735678e-14;2,91605124470387e-11;26872;0;1
EPHB2;2,01047517313584;0,182448178723181;11,0194313103351;11,0194313103351;1,05348455685925e-13;3,69360846370129e-11;2048;1;1
FUT3;1,62840083336058;0,148180568302183;10,9893007701239;10,9893007701239;1,14481138743636e-13;3,92840809714332e-11;2525;0;1
SFXN1;0,655606873559799;0,0599146883419181;10,9423397117317;10,9423397117317;1,30349674243201e-13;4,37974905457157e-11;94081;0;1
NGFR;2,85413407243682;0,261546674055397;10,9125229091321;10,9125229091321;1,41569305287455e-13;4,65965256260423e-11;4804;0;1
CAV1;-1,67409041712168;0,153787856117214;-10,8857126914216;10,8857126914216;1,52494860377366e-13;4,91887421633232e-11;857;0;1
SPON1;1,59498798847443;0,148008877519859;10,7762994706883;10,7762994706883;2,06745587972766e-13;6,53802518200937e-11;10418;0;1
PDIA4;1,10010391960297;0,102300033973261;10,753700432695;10,753700432695;2,20202445533215e-13;6,82966354146093e-11;9601;0;1
COL5A2;2,24979988719959;0,209648316304498;10,7313043427066;10,7313043427066;2,34417775661173e-13;7,13337714313849e-11;1290;0;1
PYCR1;2,03372288325317;0,190394033519249;10,6816523903705;10,6816523903705;2,69354155480157e-13;7,96082441304881e-11;5831;1;1
SPRYD7;-1,16771311290709;0,109348268312394;-10,678844127381;10,678844127381;2,71481487300152e-13;7,96082441304881e-11;57213;0;1
