gene;DE_log2_FC;std.error;t.value;abs_t.value;p.value;adj.p.value;gene_id;is_landmark;is_bing
CDH3;3,19420623368313;0,205154709684471;15,5697436271185;15,5697436271185;1,33831529911522e-18;2,15843491441303e-14;1001;1;1
TNFRSF21;1,37734093306803;0,117300658654992;11,7419710073334;11,7419710073334;1,4861441913497e-14;9,87925262208476e-12;27242;1;1
BACE2;1,43316080974135;0,124721321676855;11,4909046061473;11,4909046061473;2,91275498187246e-14;1,4235427984133e-11;25825;1;1
FHL2;2,15321555542336;0,187789388688066;11,466119414234;11,466119414234;3,11418635147585e-14;1,47722345519419e-11;2274;1;1
ADRB2;-1,47393112948449;0,132472949766051;-11,1262799846117;11,1262799846117;7,8524001348448e-14;2,91605124470387e-11;154;1;1
EPHB2;2,01047517313584;0,182448178723181;11,0194313103351;11,0194313103351;1,05348455685925e-13;3,69360846370129e-11;2048;1;1
PYCR1;2,03372288325317;0,190394033519249;10,6816523903705;10,6816523903705;2,69354155480157e-13;7,96082441304881e-11;5831;1;1
COL1A1;3,49073422870396;0,331810411372899;10,5202673245264;10,5202673245264;4,24021380788633e-13;1,05209489682447e-10;1277;1;1
PPP2R5A;-0,775532072065862;0,0745726126869282;-10,3996902364372;10,3996902364372;5,9646043579409e-13;1,39416143601262e-10;5525;1;1
CALU;1,18799696573453;0,122545705581088;9,69431739856797;9,69431739856797;4,55907054037926e-12;5,89257657919235e-10;813;1;1
MPZL1;0,852224159177616;0,0908743847291164;9,37804598862457;9,37804598862457;1,1584841029663e-11;1,18570650282852e-09;9019;1;1
LAMA3;-1,34480265374789;0,144617906432732;-9,29900512958549;9,29900512958549;1,46541306936696e-11;1,35828632084772e-09;3909;1;1
S100A4;-1,19123327004249;0,130494594112762;-9,12860243860468;9,12860243860468;2,43866745808984e-11;1,97642355598356e-09;6275;1;1
SLC1A4;1,31818028663434;0,145826834293887;9,03935337427533;9,03935337427533;3,18874165126587e-11;2,36398097548013e-09;6509;1;1
MMP2;1,97168931414401;0,21866429182126;9,01696979292669;9,01696979292669;3,41110382654323e-11;2,48933405042938e-09;4313;1;1
GFPT1;0,638788814406504;0,0715140418952001;8,93235506591299;8,93235506591299;4,4035196178445e-11;3,04806714148481e-09;2673;1;1
MMP1;7,60633210643198;0,879590987249684;8,64757849579103;8,64757849579103;1,04657102824652e-10;6,18633885923939e-09;4312;1;1
SPP1;4,78273384128009;0,553338985909742;8,64340659716361;8,64340659716361;1,06000302155776e-10;6,23443116231282e-09;6696;1;1
CASP3;0,597226955403391;0,07034097709105;8,49045577843389;8,49045577843389;1,69415267062304e-10;8,81396589413173e-09;836;1;1
FKBP14;0,973682442947441;0,115239359386566;8,44921776839508;8,44921776839508;1,92333546870112e-10;9,72399825680618e-09;55033;1;1
TJP1;-0,827265836631929;0,0986384113693056;-8,38685280052431;8,38685280052431;2,33100709864897e-10;1,12558330799433e-08;7082;1;1
HYOU1;1,08479278596121;0,13381718201486;8,10652839663555;8,10652839663555;5,5600492172274e-10;2,28174233525302e-08;10525;1;1
SHC1;0,750809290923259;0,0926787358906264;8,10120340667267;8,10120340667267;5,6530801420481e-10;2,30234536694323e-08;6464;1;1
MLEC;0,572406360977556;0,0707020363054815;8,09603783552099;8,09603783552099;5,74482914617508e-10;2,33381875238065e-08;9761;1;1
PAICS;0,835884341667855;0,10413617218641;8,02683951328242;8,02683951328242;7,12946131843713e-10;2,75081225224292e-08;10606;1;1
GPC1;1,17500374738143;0,149355500164942;7,86716087511884;7,86716087511884;1,17558811578798e-09;4,14877136355112e-08;2817;1;1
ICMT;0,651665368666987;0,0830992753112379;7,84201024890116;7,84201024890116;1,27222695002802e-09;4,42367075388317e-08;23463;1;1
HIF1A;1,59016999820154;0,203080175715105;7,8302571514038;7,8302571514038;1,32009963287714e-09;4,55900789701124e-08;3091;1;1
OXCT1;0,669330713832124;0,0856104669158294;7,81832803797457;7,81832803797457;1,37055017968966e-09;4,67319942876001e-08;5019;1;1
FUT1;-1,56649420565121;0,202488139863752;-7,73622695484907;7,73622695484907;1,77482527786777e-09;5,74786788784164e-08;2523;1;1
JUN;-1,36940760194293;0,177892037060509;-7,69797021030869;7,69797021030869;2,00243700098951e-09;6,35734329762968e-08;3725;1;1
FAT1;1,19682919855695;0,1578540918597;7,58186996901342;7,58186996901342;2,89029488572338e-09;8,50632772207055e-08;2195;1;1
HSPA4;0,531231272984703;0,0701247625755795;7,57551617250965;7,57551617250965;2,94903311100316e-09;8,64763745713799e-08;3308;1;1
KDELR2;0,518949086556399;0,0698060563566525;7,43415562548024;7,43415562548024;4,6180642903444e-09;1,23721164243645e-07;11014;1;1
IDE;0,55606985591131;0,076324327619121;7,28561748602947;7,28561748602947;7,41126110738302e-09;1,83890490984421e-07;3416;1;1
GDPD5;-1,16251256621141;0,160286521340456;-7,25271567745978;7,25271567745978;8,23182477543138e-09;1,98449730909054e-07;81544;1;1
