gene;DE_log2_FC;std.error;t.value;abs_t.value;p.value;adj.p.value;gene_id;is_landmark;is_bing
AATK;-1,74169813446383;0,188055662571941;-9,26160962474367;9,26160962474367;1,63820560232426e-11;1,49271073188054e-09;9625;0;1
ACADL;-2,06848620167194;0,199470856796169;-10,3698667308861;10,3698667308861;6,49175903057934e-13;1,48428501242041e-10;33;0;1
ACAN;3,15081633835611;0,385512837738561;8,17305165980714;8,17305165980714;4,52020519469741e-10;1,90842590000209e-08;176;0;1
ACKR1;1,5745937811615;0,280818452247311;5,60715924669646;5,60715924669646;1,67061597323069e-06;1,54316691960278e-05;2532;0;1
ACKR4;-1,57863404819724;0,186948564330077;-8,44421594706663;8,44421594706663;1,95318829709341e-10;9,84406901735078e-09;51554;0;1
ACTG2;2,40136100584852;0,336816763542772;7,12957686722613;7,12957686722613;1,2203310506789e-08;2,69852168689031e-07;72;0;1
ADAM12;2,66949255703311;0,355861986559673;7,50148275976499;7,50148275976499;3,72905555211483e-09;1,04777365756983e-07;8038;0;1
ADAM23;1,83919818188807;0,212599407649412;8,65100332227172;8,65100332227172;1,03567319907129e-10;6,1635931197866e-09;8745;0;1
ADAMDEC1;2,14744643826001;0,432190703559587;4,9687474084318;4,9687474084318;1,30023207377011e-05;8,70130410197689e-05;27299;0;1
ADAMTS9;1,57582308565122;0,291161037583255;5,4122045268527;5,4122045268527;3,13539942366329e-06;2,61331896149052e-05;56999;0;1
ADGRB2;1,82128341370849;0,214348330038429;8,49683976255827;8,49683976255827;1,66122943336869e-10;8,727136254518e-09;576;0;1
ADIRF;-1,96195170422941;0,141442870573441;-13,87098336081;13,87098336081;6,77375707787592e-17;2,73117885379957e-13;10974;0;1
ADRB1;-1,9648631326445;0,262152958312616;-7,49510188743097;7,49510188743097;3,805332892362e-09;1,06295338626926e-07;153;0;1
AGER;-3,48833519309962;0,362235019947216;-9,63003299241452;9,63003299241452;5,50495627199458e-12;6,82953344267144e-10;177;0;1
AGT;1,58959769447002;0,297995363513549;5,33430344595863;5,33430344595863;4,02988088696288e-06;3,21752073984839e-05;183;0;1
AK4;1,59165198808134;0,254053655670766;6,26502296878578;6,26502296878578;1,98239147250758e-07;2,60894284673285e-06;205;0;1
ALDH1A3;1,94962425621615;0,203423137094602;9,58408312870266;9,58408312870266;6,30113315825932e-12;7,52775374640047e-10;220;0;1
